symbol_original,symbol,date,close,change_1d,rsi,macd,macd_signal,macd_hist,bb_pctb,bb_bandwidth,support,resistance,hi_52w,lo_52w,td_last_signal,td_curr_buy_count,td_curr_sell_count,tags,local_score,llm_stance,llm_score,llm_summary,final_score,decision
SERV.O,SERV,2025-10-31,13.23,1.5349,33.195,0.0984,0.4137,-0.3153,0.2377,0.3706,13.03,13.365,22.92,5.13,SELL9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-1,"The momentum is bearish with an RSI of 33.2 indicating potential oversold conditions, while the MACD shows a negative histogram. The price is near support at 13.03 and resistance at 13.365, with the TD indicator signaling a recent sell.",-5,SELL
TTWO.O,TTWO,2025-10-31,256.37,1.4202,49.4227,0.7889,1.8673,-1.0785,0.4704,0.0512,255.4,257.68,262.29,161.72,SELL9,0,1,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-1,"The momentum is bearish as indicated by the MACD histogram being negative and the TD signal showing a recent sell. The price is near support at 255.4 and resistance at 257.68, with the RSI indicating neutral conditions. The price is also inside the Bollinger Bands, suggesting limited volatility.",-5,SELL
VST,VST,2025-10-31,188.3,-0.7432,36.8454,-2.8236,-1.7805,-1.0431,0.1719,0.1623,188.23,189.73,217.92,98.07,SELL9,2,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected,-3,bearish,-2,"The stock is showing bearish momentum with an RSI of 36.85 and a MACD below its signal line, indicating downward pressure. It is currently near support at 188.23 and resistance at 189.73, while trading within Bollinger Bands, suggesting limited volatility.",-5,SELL
BABA.K,BABA,2025-10-31,170.43,-2.0123,53.4203,3.0512,3.6884,-0.6372,0.4393,0.1656,165.86,173.47,189.34,80.53,SELL9,2,0,RSI_neutral MACD_bearish inside_bands near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-5,bearish,-1,"The momentum is currently bearish with a MACD histogram below zero and a recent TD sell signal. The price is near resistance at 173.47 and has support at 165.86, while the RSI indicates a neutral stance. The price is trading inside Bollinger Bands, suggesting limited volatility.",-6,SELL
CCCX.O,CCCX,2025-10-31,19.26,7.8387,34.6065,1.1758,1.7228,-0.5471,0.3843,0.462,17.86,21.34,25.95,10.1,SELL9,3,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_sell9 TD_sell_perfected,-5,bearish,-1,"The momentum is bearish with an RSI of 34.61 indicating oversold conditions, while the MACD shows a negative histogram. Price is below the Bollinger Bands' midline and near support at 17.86, with resistance at 21.34, and a recent TD sell signal suggests continued downward pressure.",-6,SELL
LMT,LMT,2025-10-31,491.88,0.4411,39.6751,0.6248,2.8088,-2.1841,0.366,0.0803,487.14,499.21,570.58,410.74,SELL9,0,2,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-2,"The momentum is bearish with the RSI at 39.68 and MACD indicating a negative histogram. The price is near support at 487.14 but below the mid-Bollinger band, with resistance at 499.21 and a recent TD sell signal suggesting further downside potential.",-6,SELL
TEM.O,TEM,2025-10-31,89.85,4.1498,44.5416,0.7033,1.4647,-0.7614,0.4165,0.192,87.78,91.58,103.25,31.83,SELL9,2,0,RSI_neutral MACD_bearish inside_bands near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-5,bearish,-1,"The momentum is bearish as indicated by the MACD histogram being negative and the TD signal showing a recent sell. The price is near resistance at 91.58, with support at 87.78, while the RSI indicates neutral conditions. The stock is trading within Bollinger Bands, suggesting limited volatility.",-6,SELL
TSM,TSM,2025-10-31,300.43,-0.9201,47.8668,6.8401,7.7501,-0.91,0.6112,0.0806,295.94,302.4,305.09,141.37,SELL9,0,5,RSI_neutral MACD_bearish inside_bands near_52w_high on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,-5,bearish,-1,"The momentum is bearish with the MACD histogram negative and the TD sequential indicating a recent sell signal. The price is near support at 295.94 and resistance at 302.4, while the RSI is neutral, suggesting indecision in the market.",-6,SELL
UNH,UNH,2025-10-31,341.56,-0.9253,34.2831,2.4387,5.9252,-3.4864,-0.1543,0.0777,339.78,341.61,625.25,237.77,SELL9,3,0,RSI_neutral MACD_bearish near_lower_band on_support near_resistance TD_recent_sell9 TD_sell_perfected,-4,bearish,-2,"The momentum is bearish with an RSI of 34.28 indicating oversold conditions. The MACD shows a negative histogram and a recent TD sell signal suggests continued downward pressure. Price is near support at 339.78 and resistance at 341.61, with the close below the middle Bollinger band.",-6,SELL
UUUU.K,UUUU,2025-10-31,20.51,-6.0037,42.2749,1.1746,1.6144,-0.4398,0.4419,0.4306,19.1,21.37,26.23,3.44,SELL9,0,2,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_sell9 TD_buy_perfected TD_sell_perfected,-4,bearish,-2,"The momentum is bearish with the RSI at 42.27 indicating a lack of strength, while the MACD shows a negative histogram. The price is below the Bollinger midline and near support at 19.1, with a recent TD sell signal suggesting further downside potential.",-6,SELL
WMT,WMT,2025-10-31,101.18,-1.0271,47.5418,0.04,0.7267,-0.6867,0.1459,0.0923,100.51,102.29,109.03,81.39,SELL9,7,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_sell9 TD_sell_perfected TD_buy_count_7,-5,bearish,-1,"WMT shows bearish momentum with an RSI of 47.54 and a MACD histogram below zero, indicating weakening momentum. The price is near support at 100.51 and resistance at 102.29, while the TD indicator has recently signaled a sell. The stock is trading inside Bollinger Bands, suggesting limited volatility.",-6,SELL
AMAT.O,AMAT,2025-10-31,233.1,0.2365,63.4638,8.8055,9.445,-0.6395,0.8111,0.1206,232.55,235.75,235.75,126.95,SELL9,0,7,RSI_neutral MACD_bearish inside_bands near_52w_high on_support near_resistance TD_recent_sell9 TD_sell_perfected TD_sell_count_7,-6,bearish,-1,"AMAT shows a bearish momentum with the MACD histogram negative and a recent TD sell signal. The price is near resistance at 235.75 and on support at 232.55, while the RSI indicates a neutral stance. The stock is trading within Bollinger Bands, suggesting limited volatility.",-7,SELL
ASTS.O,ASTS,2025-10-31,80.25,4.6557,39.4439,4.5361,6.1373,-1.6012,0.4665,0.3448,77.77,86.79,95.69,17.72,SELL9,0,5,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_sell9 TD_sell_perfected TD_sell_count_5,-5,bearish,-2,"The momentum is bearish with the RSI at 39.44 indicating potential weakness, while the MACD shows a negative histogram. The price is below the Bollinger midline and near support at 77.77, with a recent TD sell signal and multiple sell counts suggesting continued downward pressure.",-7,SELL
CEG.O,CEG,2025-10-31,377.0,-1.4328,48.8161,10.3328,11.5594,-1.2266,0.4715,0.1541,368.49,383.23,403.95,170.96,SELL9,2,0,RSI_neutral MACD_bearish inside_bands near_resistance TD_recent_sell9 TD_sell_perfected,-6,bearish,-1,"The momentum is bearish with the MACD histogram negative and the TD indicator showing a recent sell signal. The price is near resistance at 383.23, while the RSI indicates neutral momentum. Support is at 368.49, and the price is currently inside the Bollinger Bands.",-7,SELL
SMCI.O,SMCI,2025-10-31,51.96,3.1566,43.9056,0.5103,0.9816,-0.4714,0.3778,0.1949,50.37,52.5,60.71,18.01,SELL9,0,3,RSI_neutral MACD_bearish inside_bands near_resistance TD_recent_sell9 TD_sell_perfected,-6,bearish,-1,"The momentum is bearish with the RSI at 43.91 and a MACD histogram indicating downward pressure. The price is near resistance at 52.5 and below the Bollinger midline, while the TD indicator shows a recent sell signal, suggesting potential weakness.",-7,SELL
TSLA.O,TSLA,2025-10-31,456.56,3.7401,57.5379,10.8441,11.6753,-0.8312,0.8294,0.1052,440.1,459.46,479.86,221.86,SELL9,0,5,RSI_neutral MACD_bearish inside_bands near_resistance TD_recent_sell9 TD_sell_perfected TD_sell_count_5,-6,bearish,-1,"The momentum is bearish with the MACD histogram negative and a recent TD sell signal. The price is near resistance at 459.46, while the RSI indicates neutral momentum. Support is at 440.1, and the price is trading within Bollinger Bands.",-7,SELL
NEM,NEM,2025-10-31,80.97,-1.628,41.0224,-0.5357,0.9843,-1.5199,0.2126,0.2378,79.25,82.31,98.27,37.0,SELL9,0,1,RSI_neutral MACD_bearish inside_bands near_resistance TD_recent_sell9 TD_sell_perfected,-6,bearish,-2,"NEM shows bearish momentum with an RSI of 41.02 and a MACD below its signal line, indicating downward pressure. The price is near support at 79.25 and resistance at 82.31, while Bollinger Bands suggest the price is inside the bands with low bandwidth. The TD indicator has recently signaled a sell.",-8,SELL
